word,expected_pinyin,expected_tone,source,source_status,all_readings,reading_count,tones_seen
得,,,moe_dict,ambiguous_polyphone,de(˙ㄉㄜ)=5|dé(ㄉㄜˊ)=2|dǎi(ㄉㄞˇ)=3|děi(ㄉㄟˇ)=3,4,"2,3,5"
從,,,moe_dict,ambiguous_polyphone,zōng(ㄗㄨㄥ)=1|zòng(ㄗㄨㄥˋ)=4|cōng(ㄘㄨㄥ)=1|cóng(ㄘㄨㄥˊ)=2,4,"1,2,4"
心,xīn,1,moe_dict,verified,xīn(ㄒㄧㄣ)=1,1,1
必,bì,4,moe_dict,verified,bì(ㄅㄧˋ)=4,1,4
忙,máng,2,moe_dict,verified,máng(ㄇㄤˊ)=2,1,2
快,kuài,4,moe_dict,verified,kuài(ㄎㄨㄞˋ)=4,1,4
忽,hū,1,moe_dict,verified,hū(ㄏㄨ)=1,1,1
怎,,3,moe_dict,verified_tone_only,zě(ㄗㄜˇ)=3|zěn(ㄗㄣˇ)=3,2,3
急,jí,2,moe_dict,verified,jí(ㄐㄧˊ)=2,1,2
怪,guài,4,moe_dict,verified,guài(ㄍㄨㄞˋ)=4,1,4
恭,gōng,1,moe_dict,verified,gōng(ㄍㄨㄥ)=1,1,1
想,xiǎng,3,moe_dict,verified,xiǎng(ㄒㄧㄤˇ)=3,1,3
意,yì,4,moe_dict,verified,yì(ㄧˋ)=4,1,4
應,,,moe_dict,ambiguous_polyphone,yīng(ㄧㄥ)=1|yìng(ㄧㄥˋ)=4,2,"1,4"
成,chéng,2,moe_dict,verified,chéng(ㄔㄥˊ)=2,1,2
我,,3,moe_dict,verified_tone_only,ě(ㄜˇ)=3|wǒ(ㄨㄛˇ)=3,2,3
或,huò,4,moe_dict,verified,huò(ㄏㄨㄛˋ)=4,1,4
戶,hù,4,moe_dict,verified,hù(ㄏㄨˋ)=4,1,4
房,fáng,2,moe_dict,verified,fáng(ㄈㄤˊ)=2,1,2
所,suǒ,3,moe_dict,verified,suǒ(ㄙㄨㄛˇ)=3,1,3
手,shǒu,3,moe_dict,verified,shǒu(ㄕㄡˇ)=3,1,3
才,cái,2,moe_dict,verified,cái(ㄘㄞˊ)=2,1,2
打,,,moe_dict,ambiguous_polyphone,dǎ(ㄉㄚˇ)=3|dá(ㄉㄚˊ)=2,2,"2,3"
找,zhǎo,3,moe_dict,verified,zhǎo(ㄓㄠˇ)=3,1,3
把,,,moe_dict,ambiguous_polyphone,bǎ(ㄅㄚˇ)=3|bà(ㄅㄚˋ)=4|bǎi(ㄅㄞˇ)=3,3,"3,4"
招,,,moe_dict,ambiguous_polyphone,qiáo(ㄑㄧㄠˊ)=2|zhāo(ㄓㄠ)=1|sháo(ㄕㄠˊ)=2,3,"1,2"
拜,bài,4,moe_dict,verified,bài(ㄅㄞˋ)=4,1,4
掃,,,moe_dict,ambiguous_polyphone,sǎo(ㄙㄠˇ)=3|sào(ㄙㄠˋ)=4,2,"3,4"
搬,bān,1,moe_dict,verified,bān(ㄅㄢ)=1,1,1
據,jù,4,moe_dict,verified,jù(ㄐㄩˋ)=4,1,4
擺,bǎi,3,moe_dict,verified,bǎi(ㄅㄞˇ)=3,1,3
放,,,moe_dict,ambiguous_polyphone,fǎng(ㄈㄤˇ)=3|fàng(ㄈㄤˋ)=4,2,"3,4"
教,,,moe_dict,ambiguous_polyphone,jiāo(ㄐㄧㄠ)=1|jiào(ㄐㄧㄠˋ)=4,2,"1,4"
數,,,moe_dict,ambiguous_polyphone,shǔ(ㄕㄨˇ)=3|shù(ㄕㄨˋ)=4|shuò(ㄕㄨㄛˋ)=4|cù(ㄘㄨˋ)=4|sù(ㄙㄨˋ)=4,5,"3,4"
文,,,moe_dict,ambiguous_polyphone,wén(ㄨㄣˊ)=2|wèn(ㄨㄣˋ)=4,2,"2,4"
新,xīn,1,moe_dict,verified,xīn(ㄒㄧㄣ)=1,1,1
方,fāng,1,moe_dict,verified,fāng(ㄈㄤ)=1,1,1
旅,lǚ,3,moe_dict,verified,lǚ(ㄌㄩˇ)=3,1,3
日,,4,moe_dict,verified_tone_only,mì(ㄇㄧˋ)=4|rì(ㄖˋ)=4,2,4
早,zǎo,3,moe_dict,verified,zǎo(ㄗㄠˇ)=3,1,3
春,chūn,1,moe_dict,verified,chūn(ㄔㄨㄣ)=1,1,1
昨,zuó,2,moe_dict,verified,zuó(ㄗㄨㄛˊ)=2,1,2
是,shì,4,moe_dict,verified,shì(ㄕˋ)=4,1,4
時,shí,2,moe_dict,verified,shí(ㄕˊ)=2,1,2
晚,wǎn,3,moe_dict,verified,wǎn(ㄨㄢˇ)=3,1,3
曆,lì,4,moe_dict,verified,lì(ㄌㄧˋ)=4,1,4
最,zuì,4,moe_dict,verified,zuì(ㄗㄨㄟˋ)=4,1,4
會,,,moe_dict,ambiguous_polyphone,guì(ㄍㄨㄟˋ)=4|kuài(ㄎㄨㄞˋ)=4|huǐ(ㄏㄨㄟˇ)=3|huì(ㄏㄨㄟˋ)=4,4,"3,4"
月,yuè,4,moe_dict,verified,yuè(ㄩㄝˋ)=4,1,4
有,,,moe_dict,ambiguous_polyphone,yǒu(ㄧㄡˇ)=3|yòu(ㄧㄡˋ)=4,2,"3,4"
朋,péng,2,moe_dict,verified,péng(ㄆㄥˊ)=2,1,2
服,fú,2,moe_dict,verified,fú(ㄈㄨˊ)=2,1,2
期,,,moe_dict,ambiguous_polyphone,jī(ㄐㄧ)=1|qī(ㄑㄧ)=1|qí(ㄑㄧˊ)=2,3,"1,2"
